"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","catch","clock_backend","color_backend","compensation","coordinates","correct","correct_intro","correct_target_mouse_response","correct_target_mouse_response_1","correct_target_mouse_response_2","count_accuracy_readout","count_beep","count_beep_1","count_beep_2","count_blank","count_blank_1","count_blank_2","count_blank_3","count_catch_trial_disp","count_catch_trial_disp_1","count_detection_accuracy","count_detection_accuracy2","count_detection_accuracy_1","count_detection_accuracy_left","count_elapsedtime","count_elapsedtime_1","count_end_block","count_end_block1","count_end_experiment","count_experiment_scriptL","count_experiment_scriptL_1","count_experiment_scriptR","count_fixation","count_fixation_1","count_fixation_2","count_getting_started","count_global_prep","count_intro","count_left","count_logger","count_logger_1","count_logger_2","count_loop1","count_loop2","count_new_feedback","count_new_inline_script","count_new_inline_script_1","count_new_inline_script_2","count_new_reset_feedback","count_new_sketchpad_1","count_outside_loop","count_outside_sequence","count_pause2","count_pause2_1","count_pause2_2","count_reset_feedback1","count_reset_feedback2","count_right","count_right_accuracy_calc","count_target","count_target_1","count_target_2","count_target_identified","count_target_mouse_response","count_target_mouse_response_1","count_target_mouse_response_2","count_target_prep","count_target_prep_1","count_touch_pad","count_touch_pad2","count_touch_pad2_1","count_touch_pad2_2","count_touch_pad3_1","count_touch_pad_1","count_touch_pad_2","count_touch_release","count_touch_release_1","count_touch_release_2","count_touch_response","count_touch_response_1","count_touch_response_2","count_touch_response_3","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_2","count_visual_detection","count_welcome","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","elapsed","empty_column","experiment_file","experiment_path","false_alarm_count","fix_x","fix_x1","fix_x2","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_loop1","logfile","mouse_backend","mouse_release","opensesame_codename","opensesame_version","pix_perDeg","reach_t0","repeat_cycle","response","response_accuracy_readout","response_detection_accuracy2","response_detection_accuracy_1","response_detection_accuracy_left","response_end_block","response_end_block1","response_end_experiment","response_intro","response_new_feedback","response_new_sketchpad_1","response_target_mouse_response","response_target_mouse_response_1","response_target_mouse_response_2","response_time","response_time_accuracy_readout","response_time_detection_accuracy2","response_time_detection_accuracy_1","response_time_detection_accuracy_left","response_time_end_block","response_time_end_block1","response_time_end_experiment","response_time_intro","response_time_new_feedback","response_time_new_sketchpad_1","response_time_target_mouse_response","response_time_target_mouse_response_1","response_time_target_mouse_response_2","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tap_t0","targetSize_pix","target_fileL","target_fileR","target_onset","time_accuracy_readout","time_beep","time_beep_1","time_beep_2","time_blank","time_blank_1","time_blank_2","time_blank_3","time_catch_trial_disp","time_catch_trial_disp_1","time_detection_accuracy","time_detection_accuracy2","time_detection_accuracy_1","time_detection_accuracy_left","time_elapsedtime","time_elapsedtime_1","time_end_block","time_end_block1","time_end_experiment","time_experiment_scriptL","time_experiment_scriptL_1","time_experiment_scriptR","time_fixation","time_fixation_1","time_fixation_2","time_getting_started","time_global_prep","time_intro","time_left","time_logger","time_logger_1","time_logger_2","time_loop1","time_loop2","time_new_feedback","time_new_inline_script","time_new_inline_script_1","time_new_inline_script_2","time_new_reset_feedback","time_new_sketchpad_1","time_outside_loop","time_outside_sequence","time_pause2","time_pause2_1","time_pause2_2","time_reset_feedback1","time_reset_feedback2","time_right","time_right_accuracy_calc","time_tap","time_target","time_target_1","time_target_2","time_target_identified","time_target_mouse_response","time_target_mouse_response_1","time_target_mouse_response_2","time_target_prep","time_target_prep_1","time_touch_offset","time_touch_pad","time_touch_pad2","time_touch_pad2_1","time_touch_pad2_2","time_touch_pad3_1","time_touch_pad_1","time_touch_pad_2","time_touch_release","time_touch_release_1","time_touch_release_2","time_touch_response","time_touch_response_1","time_touch_response_2","time_touch_response_3","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_2","time_visual_detection","time_welcome","title","total_correct","total_left_targets_identified","total_response_time","total_responses","total_right_targets_identified","total_targets_identified","touch_x","uniform_coordinates","width","x","y"
"undefined","undefined","140.971899033","140.971899033","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","NA","0","0","NA","0","NA","NA","NA","NA","NA","NA","0","NA","NA","0","0","0","NA","0","NA","NA","NA","0","NA","NA","0","NA","0","0","NA","NA","NA","NA","NA","0","NA","NA","0","NA","NA","NA","0","NA","NA","0","NA","","883","70","Thu 18 Jul 2019 13:15:33 BST","The main experiment item","yes","1587.91208267","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","0","0","/home/experimenter/git/DMT2019/visualDetectionTask/subject-0.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","140.971899033","NA","NA","NA","NA","NA","NA","NA","3078.28092575","NA","NA","140.971899033","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","0","even","6825.52909851","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","750","NA","6997.2012043","NA","NA","5260.39600372","NA","NA","NA","NA","NA","NA","NA","NA","NA","6825.57106018","NA","NA","NA","NA","5258.11910629","NA","NA","5262.95518875","NA","NA","NA","2127.68101692","2135.95509529","5214.65802193","7299.74508286","NA","NA","5214.73503113","NA","NA","5265.67101479","NA","NA","NA","NA","NA","NA","7099.53403473","NA","NA","NA","NA","NA","NA","171.603918076","6583.90712738","NA","NA","NA","6825.69909096","NA","NA","6580.75213432","NA","NA","5265.56420326","5829.88905907","NA","NA","NA","NA","NA","6584.08713341","NA","NA","6996.90413475","NA","NA","NA","5257.96508789","NA","NA","2127.55203247","NA","New experiment","0","1","140.971899033","1","0","1","868","yes","1920","-136","0"
"undefined","undefined","141.159415245","141.159415245","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","1","NA","NA","1","NA","NA","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","NA","NA","NA","0","0","0","1","NA","NA","0","0","NA","1","NA","NA","NA","NA","NA","NA","1","NA","NA","0","0","0","NA","1","NA","NA","NA","1","NA","NA","1","NA","1","1","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","NA","1","NA","NA","0","NA","","874","67","Thu 18 Jul 2019 13:15:33 BST","The main experiment item","yes","1529.08706665","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","1","1","/home/experimenter/git/DMT2019/visualDetectionTask/subject-0.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","141.346931458","NA","NA","NA","NA","NA","NA","NA","3078.28092575","NA","NA","141.346931458","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","0","even","8951.03001595","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","350","NA","9093.23906898","NA","NA","7443.45402718","NA","NA","NA","NA","NA","NA","NA","NA","NA","8951.06506348","NA","NA","NA","NA","7441.75601006","NA","NA","7445.64199448","NA","NA","NA","2127.68101692","2135.95509529","5214.65802193","9396.70705795","NA","NA","5214.73503113","NA","NA","7448.08602333","NA","NA","NA","NA","NA","NA","9196.48218155","NA","NA","NA","NA","NA","NA","142.158985138","8527.55022049","NA","NA","NA","8951.19309425","NA","NA","8525.31099319","NA","NA","7448.00019264","8174.84402657","NA","NA","NA","NA","NA","8527.70614624","NA","NA","9093.13821793","NA","NA","NA","7441.6410923","NA","NA","2127.55203247","NA","New experiment","0","2","282.31883049","2","0","2","868","yes","1920","-428","-163"
"undefined","undefined","137.807289759","137.807289759","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","2","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","NA","NA","NA","0","0","0","2","NA","NA","0","0","NA","2","NA","NA","NA","NA","NA","NA","2","NA","NA","0","0","0","NA","2","NA","NA","NA","2","NA","NA","2","NA","2","2","NA","NA","NA","NA","NA","2","NA","NA","2","NA","NA","NA","2","NA","NA","0","NA","","878","56","Thu 18 Jul 2019 13:15:33 BST","The main experiment item","yes","2227.34618187","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","2","2","/home/experimenter/git/DMT2019/visualDetectionTask/subject-0.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","131.103038788","NA","NA","NA","NA","NA","NA","NA","3078.28092575","NA","NA","131.103038788","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","0","even","11714.79702","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","550","NA","11846.8251228","NA","NA","9508.84699821","NA","NA","NA","NA","NA","NA","NA","NA","NA","11714.8351669","NA","NA","NA","NA","9507.05814362","NA","NA","9511.28005981","NA","NA","NA","2127.68101692","2135.95509529","5214.65802193","12153.5570621","NA","NA","5214.73503113","NA","NA","9513.72313499","NA","NA","NA","NA","NA","NA","11953.3450603","NA","NA","NA","NA","NA","NA","131.977081299","11319.2970753","NA","NA","NA","11714.9691582","NA","NA","11316.6410923","NA","NA","9513.61608505","10766.0281658","NA","NA","NA","NA","NA","11319.5102215","NA","NA","11846.7230797","NA","NA","NA","9506.97302818","NA","NA","2127.55203247","NA","New experiment","0","3","413.421869278","3","0","3","868","yes","1920","-128","-126"
"undefined","undefined","131.519436836","131.519436836","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","3","NA","NA","3","NA","NA","NA","3","NA","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","NA","NA","NA","0","0","0","3","NA","NA","0","0","NA","3","NA","NA","NA","NA","NA","NA","3","NA","NA","0","0","0","NA","3","NA","NA","NA","3","NA","NA","3","NA","3","3","NA","NA","NA","NA","NA","3","NA","NA","3","NA","NA","NA","3","NA","NA","0","NA","","888","65","Thu 18 Jul 2019 13:15:33 BST","The main experiment item","yes","1629.06694412","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","3","3","/home/experimenter/git/DMT2019/visualDetectionTask/subject-0.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","112.655878067","NA","NA","NA","NA","NA","NA","NA","3078.28092575","NA","NA","112.655878067","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","0","even","13878.9820671","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","750","NA","13992.5251007","NA","NA","12273.6170292","NA","NA","NA","NA","NA","NA","NA","NA","NA","13879.0221214","NA","NA","NA","NA","12271.2481022","NA","NA","12275.9981155","NA","NA","NA","2127.68101692","2135.95509529","5214.65802193","14293.5562134","NA","NA","5214.73503113","NA","NA","12278.5110474","NA","NA","NA","NA","NA","NA","14093.4112072","NA","NA","NA","NA","NA","NA","113.493919373","13512.6550198","NA","NA","NA","13879.1592121","NA","NA","13510.0710392","NA","NA","12278.3651352","12759.2380047","NA","NA","NA","NA","NA","13513.5040283","NA","NA","13992.4230576","NA","NA","NA","12271.0900307","NA","NA","2127.55203247","NA","New experiment","0","4","526.077747345","4","0","4","868","yes","1920","-128","126"
"undefined","undefined","135.37774086","135.37774086","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","4","NA","NA","4","NA","NA","NA","4","NA","NA","NA","NA","NA","4","NA","NA","NA","0","4","NA","NA","4","NA","NA","NA","0","0","0","4","NA","NA","0","0","NA","4","NA","NA","NA","NA","NA","NA","4","NA","NA","0","0","0","NA","4","NA","NA","NA","4","NA","NA","4","NA","4","4","NA","NA","NA","NA","NA","4","NA","NA","4","NA","NA","NA","4","NA","NA","0","NA","","890","69","Thu 18 Jul 2019 13:15:33 BST","The main experiment item","yes","1369.44484711","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","4","4","/home/experimenter/git/DMT2019/visualDetectionTask/subject-0.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","150.810956955","NA","NA","NA","NA","NA","NA","NA","3078.28092575","NA","NA","150.810956955","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","0","even","15756.2801838","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","300","NA","15907.9740047","NA","NA","14409.8381996","NA","NA","NA","NA","NA","NA","NA","NA","NA","15756.3171387","NA","NA","NA","NA","14407.9990387","NA","NA","14412.8780365","NA","NA","NA","2127.68101692","2135.95509529","5214.65802193","16215.3170109","NA","NA","5214.73503113","NA","NA","14418.3061123","NA","NA","NA","NA","NA","NA","16015.1031017","NA","NA","NA","NA","NA","NA","151.64399147","15396.584034","NA","NA","NA","15756.44207","NA","NA","15394.0761089","NA","NA","14418.0819988","15093.7180519","NA","NA","NA","NA","NA","15396.7261314","NA","NA","15907.8722","NA","NA","NA","14407.8900814","NA","NA","2127.55203247","NA","New experiment","0","5","676.8887043","5","0","5","868","yes","1920","-740","0"
"undefined","undefined","133.2706213","133.2706213","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","5","NA","NA","5","NA","NA","NA","5","NA","NA","NA","NA","NA","5","NA","NA","NA","0","5","NA","NA","5","NA","NA","NA","0","0","0","5","NA","NA","0","0","NA","5","NA","NA","NA","NA","NA","NA","5","NA","NA","0","0","0","NA","5","NA","NA","NA","5","NA","NA","5","NA","5","5","NA","NA","NA","NA","NA","5","NA","NA","5","NA","NA","NA","5","NA","NA","0","NA","","896","68","Thu 18 Jul 2019 13:15:33 BST","The main experiment item","yes","1420.6609726","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","5","5","/home/experimenter/git/DMT2019/visualDetectionTask/subject-0.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","122.735023499","NA","NA","NA","NA","NA","NA","NA","3078.28092575","NA","NA","122.735023499","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","0","even","17720.3111649","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","700","NA","17844.0380096","NA","NA","16321.5110302","NA","NA","NA","NA","NA","NA","NA","NA","NA","17720.3462124","NA","NA","NA","NA","16319.4642067","NA","NA","16324.037075","NA","NA","NA","2127.68101692","2135.95509529","5214.65802193","18150.8910656","NA","NA","5214.73503113","NA","NA","16327.5442123","NA","NA","NA","NA","NA","NA","17950.7300854","NA","NA","NA","NA","NA","NA","123.675823212","17464.7791386","NA","NA","NA","17720.4730511","NA","NA","17462.6991749","NA","NA","16326.8489838","16761.9431019","NA","NA","NA","NA","NA","17464.9121761","NA","NA","17843.9331055","NA","NA","NA","16319.3311691","NA","NA","2127.55203247","NA","New experiment","0","6","799.623727798","6","0","6","868","yes","1920","-728","-200"
"undefined","undefined","139.806406839","139.806406839","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","6","NA","NA","6","NA","NA","NA","6","NA","NA","NA","NA","NA","6","NA","NA","NA","0","6","NA","NA","6","NA","NA","NA","0","0","0","6","NA","NA","0","0","NA","6","NA","NA","NA","NA","NA","NA","6","NA","NA","0","0","0","NA","6","NA","NA","NA","6","NA","NA","6","NA","6","6","NA","NA","NA","NA","NA","6","NA","NA","6","NA","NA","NA","6","NA","NA","0","NA","","900","80","Thu 18 Jul 2019 13:15:33 BST","The main experiment item","yes","1134.96184349","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","6","6","/home/experimenter/git/DMT2019/visualDetectionTask/subject-0.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","179.021120071","NA","NA","NA","NA","NA","NA","NA","3078.28092575","NA","NA","179.021120071","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","0","even","19407.1040154","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","400","NA","19587.1272087","NA","NA","18295.8331108","NA","NA","NA","NA","NA","NA","NA","NA","NA","19407.143116","NA","NA","NA","NA","18293.5810089","NA","NA","18298.0790138","NA","NA","NA","2127.68101692","2135.95509529","5214.65802193","19889.3241882","NA","NA","5214.73503113","NA","NA","18300.4641533","NA","NA","NA","NA","NA","NA","19689.1291142","NA","NA","NA","NA","NA","NA","179.973125458","19130.7191849","NA","NA","NA","19407.3650837","NA","NA","19128.4401417","NA","NA","18300.3740311","18728.0020714","NA","NA","NA","NA","NA","19130.8441162","NA","NA","19587.0230198","NA","NA","NA","18293.4641838","NA","NA","2127.55203247","NA","New experiment","0","7","978.64484787","7","0","7","868","yes","1920","-438","0"
"undefined","undefined","158.819496632","158.819496632","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","7","NA","NA","7","NA","NA","NA","7","NA","NA","NA","NA","NA","7","NA","NA","NA","0","7","NA","NA","7","NA","NA","NA","0","0","0","7","NA","NA","0","0","NA","7","NA","NA","NA","NA","NA","NA","7","NA","NA","0","0","0","NA","7","NA","NA","NA","7","NA","NA","7","NA","7","7","NA","NA","NA","NA","NA","7","NA","NA","7","NA","NA","NA","7","NA","NA","0","NA","","890","77","Thu 18 Jul 2019 13:15:33 BST","The main experiment item","yes","2744.70996857","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","7","7","/home/experimenter/git/DMT2019/visualDetectionTask/subject-0.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","291.911125183","NA","NA","NA","NA","NA","NA","NA","3078.28092575","NA","NA","291.911125183","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","0","even","22720.0241089","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","700","NA","23012.814045","NA","NA","19996.8240261","NA","NA","NA","NA","NA","NA","NA","NA","NA","22720.0610638","NA","NA","NA","NA","19994.5402145","NA","NA","19999.3491173","NA","NA","NA","2127.68101692","2135.95509529","5214.65802193","23322.3559856","NA","NA","5214.73503113","NA","NA","20002.0060539","NA","NA","NA","NA","NA","NA","23121.7000484","NA","NA","NA","NA","NA","NA","292.740106583","21553.9710522","NA","NA","NA","22720.1859951","NA","NA","21381.029129","NA","NA","20001.9211769","20680.2601814","NA","NA","NA","NA","NA","21554.1040897","NA","NA","23012.7110481","NA","NA","NA","19994.3780899","NA","NA","2127.55203247","NA","New experiment","0","8","1270.55597305","8","0","8","868","yes","1920","-728","200"
"undefined","undefined","158.819496632","158.819496632","black","psycho","1","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","8","NA","NA","8","NA","NA","NA","8","NA","NA","NA","NA","NA","8","NA","NA","NA","0","8","NA","NA","8","NA","NA","NA","0","0","0","8","NA","NA","0","0","NA","8","NA","NA","NA","NA","NA","NA","8","NA","NA","0","0","0","NA","8","NA","NA","NA","8","NA","NA","8","NA","8","8","NA","NA","NA","NA","NA","8","NA","NA","8","NA","NA","NA","8","NA","NA","0","NA","","890","77","Thu 18 Jul 2019 13:15:33 BST","The main experiment item","yes","3243.88003349","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","8","8","/home/experimenter/git/DMT2019/visualDetectionTask/subject-0.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","291.911125183","NA","NA","NA","NA","NA","NA","NA","3078.28092575","NA","NA","291.911125183","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","0","even","22720.0241089","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","500","NA","26660.0751877","NA","NA","23440.3500557","NA","NA","NA","24657.9811573","NA","NA","NA","NA","NA","26660.0120068","NA","NA","NA","NA","23438.188076","NA","NA","23442.2659874","NA","NA","NA","2127.68101692","2135.95509529","5214.65802193","26957.8330517","NA","NA","5214.73503113","NA","NA","23444.4041252","NA","NA","NA","NA","NA","NA","26757.6911449","NA","NA","NA","NA","NA","NA","292.740106583","21553.9710522","NA","NA","NA","22720.1859951","NA","NA","24655.8651924","NA","NA","23444.3190098","24154.635191","NA","NA","NA","NA","NA","21554.1040897","NA","NA","23012.7110481","NA","NA","NA","23438.0660057","NA","NA","2127.55203247","NA","New experiment","0","8","1270.55597305","8","0","8","868","yes","1920","-438","0"
"undefined","undefined","155.824767219","155.824767219","black","psycho","0","psycho","psycho","0","uniform","undefined","undefined","undefined","NA","NA","NA","9","NA","NA","9","NA","NA","NA","9","NA","NA","NA","NA","NA","9","NA","NA","NA","0","9","NA","NA","9","NA","NA","NA","0","0","0","9","NA","NA","0","0","NA","9","NA","NA","NA","NA","NA","NA","9","NA","NA","0","0","0","NA","9","NA","NA","NA","9","NA","NA","9","NA","9","9","NA","NA","NA","NA","NA","9","NA","NA","9","NA","NA","NA","9","NA","NA","0","NA","","892","72","Thu 18 Jul 2019 13:15:33 BST","The main experiment item","yes","1227.78201103","NA","visualDetectionTask.osexp","/home/experimenter/git/DMT2019/visualDetectionTask","0","900","885","915","no","mono","no","18","no","white","no","yes","1080","psycho","9","9","/home/experimenter/git/DMT2019/visualDetectionTask/subject-0.csv","psycho","no","Kafkaesque Koffka","3.2.7b1","43.7633665943","NA","0","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","131.866931915","NA","NA","NA","NA","NA","NA","NA","3078.28092575","NA","NA","131.866931915","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","visual_detection","0","even","28274.3580341","54.7042082428","pointingTask_targets_radial7_left.csv","pointingTask_targets_radial7_right.csv","450","NA","28407.1471691","NA","NA","27067.4262047","NA","NA","NA","24657.9811573","NA","NA","NA","NA","NA","28274.3940353","NA","NA","NA","NA","27065.6380653","NA","NA","27072.7140903","NA","NA","NA","2127.68101692","2135.95509529","5214.65802193","28726.8500328","NA","NA","5214.73503113","NA","NA","27088.2561207","NA","NA","NA","NA","NA","NA","28526.7131329","NA","NA","NA","NA","NA","NA","132.727146149","27978.6012173","NA","NA","NA","28274.5211124","NA","NA","27976.1161804","NA","NA","27088.0842209","27525.5150795","NA","NA","NA","NA","NA","27978.7449837","NA","NA","28407.0301056","NA","NA","NA","27065.5531883","NA","NA","2127.55203247","NA","New experiment","0","9","1402.42290497","9","0","9","868","yes","1920","-428","163"
