"avg_rt","datetime","eye_image_reach_file","eye_image_reach_time","eye_image_touch1_file","eye_image_touch1_time","eye_image_touch2_file","eye_image_touch2_time","eye_move","fix_x","land_x","land_y","reach_duration","subject_nr","targ_x","targ_y","target_onset","targets_file","time_touch_offset","touch_x","valid_trial_count","void_trial"
"167.738586664","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_19_reach.png","0.06103515625","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_19_touch1.png","0.0381469726562","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_19_touch2.png","0.0410079956055","0","-900","626","139","349.750041962","102","728","200","250","pointingTask_targets_radial7_right.csv","566.738128662","-943","16","0"
"168.424255708","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_22_reach.png","0.0371932983398","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_22_touch1.png","0.053882598877","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_22_touch2.png","0.0431537628174","0","-900","477","-235","317.340135574","102","514","-174","550","pointingTask_targets_radial7_right.csv","398.302078247","-943","17","0"
"170.26925087","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_23_reach.png","0.0700950622559","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_23_touch1.png","0.0948905944824","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_23_touch2.png","0.0560283660889","0","-900","301","91","299.471139908","102","300","147","350","pointingTask_targets_radial7_right.csv","400.660037994","-943","18","0"
"171.419708352","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_24_reach.png","0.0391006469727","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_24_touch1.png","0.0629425048828","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_24_touch2.png","0.158071517944","0","-900","471","-28","300.691127777","102","524","0","450","pointingTask_targets_radial7_right.csv","417.418956757","-943","19","0"
"171.513080597","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_25_reach.png","0.0741481781006","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_25_touch1.png","0.0848770141602","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_25_touch2.png","0.168085098267","0","-900","645","-227","299.199104309","102","728","-200","650","pointingTask_targets_radial7_right.csv","418.510913849","-943","20","0"
"171.717416672","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_26_reach.png","0.105142593384","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_26_touch1.png","0.0460147857666","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_26_touch2.png","0.277996063232","0","-900","435","-191","251.804828644","102","514","-174","550","pointingTask_targets_radial7_right.csv","383.70013237","-943","21","0"
"171.904444695","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_27_reach.png","0.0429153442383","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_27_touch1.png","0.0410079956055","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_27_touch2.png","0.0379085540771","0","-900","692","-227","300.259113312","102","728","-200","250","pointingTask_targets_radial7_right.csv","532.753944397","-943","22","0"
"171.148072118","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_30_reach.png","0.0388622283936","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_30_touch1.png","0.0391006469727","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_30_touch2.png","0.0760555267334","0","-900","444","-197","351.16314888","102","514","-174","650","pointingTask_targets_radial7_right.csv","414.243936539","-943","23","0"
"171.56441013","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_31_reach.png","0.06103515625","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_31_touch1.png","0.0410079956055","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_31_touch2.png","0.0450611114502","0","-900","306","28","249.497175217","102","300","147","450","pointingTask_targets_radial7_right.csv","416.158914566","-943","24","0"
"170.721349716","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_32_reach.png","0.065803527832","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_32_touch1.png","0.0438690185547","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_32_touch2.png","0.0410079956055","0","-900","282","53","315.580844879","102","300","147","350","pointingTask_targets_radial7_right.csv","516.585111618","-943","25","0"
"168.867881481","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_35_reach.png","0.168800354004","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_35_touch1.png","0.0698566436768","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_35_touch2.png","0.0989437103271","0","-900","566","98","349.823951721","102","728","200","250","pointingTask_targets_radial7_right.csv","451.395988464","-943","26","0"
"170.794849043","Wed 11 Sep 2019 14:41:29 BST","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_36_reach.png","0.0498294830322","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_36_touch1.png","0.0531673431396","subject102_pointingTask_CLfix_right_2019-09-11T14:41:35_36_touch2.png","0.0400543212891","0","-900","294","-14","283.626079559","102","309","0","450","pointingTask_targets_radial7_right.csv","464.577913284","-943","27","0"
