140
2	66	BXPVOE	000000	SO
5	333	TBJHRK	000000	THJP
6	67	SGPNRJ	000000	JNS
3	100	FPOLBV	000000	VP
5	333	HGZOXS	000000	SXO
4	184	FKSOZR	000000	SP
1	34	GEDOBZ	000000	Z
2	67	LOXGDM	000000	DZ
7	333	GFBOKM	000000	MKO
2	67	GSKOTH	000000	NS
6	67	KZBJDR	000000	DJK
3	100	JKTHEB	000000	EBK
5	333	DPKTXZ	000000	DZKL
7	334	JMVTEH	000000	HEKJ
5	333	XMHRSA	000000	ARS
3	100	MEZXAT	000000	AT
6	67	RZOBTA	000000	ATOZP
6	67	STAFNK	000000	SNKP
1	34	DAKXZT	000000	S
7	334	EZPAMK	000000	KMPA
4	183	OVAMRN	000000	OVA
1	33	LFGSTE	000000	A
4	183	SVOAXH	000000	SKO
4	183	JHLEPA	000000	APL
2	67	PZTBEJ	000000	JPZ
1	33	VSXPFN	000000	S
3	100	RDBAPT	000000	TPO
7	334	MSEBVK	000000	KVEB
2	67	DGLEOA	000000	-
