"avg_rt","beep_touchOffset","count_committed","count_valid_trial","cursor_x","cursor_y","datetime","eye_move","fix_x","reach_duration","response_time_target_mouse_response","subject_nr","subject_parity","targets_file","time_touch_offset","touch_x","x","y"
"824.362516403","225.837945938","4","4","769","22","Thu 18 Jul 2019 13:49:49 BST","NA","-900","340.235948563","108.391046524","1","odd","pointingTask_targets_radial7_right.csv","1008.89205933","-932","740","0"
"509.794235229","211.395025253","5","5","373","122","Thu 18 Jul 2019 13:49:49 BST","NA","-900","311.996936798","108.332872391","1","odd","pointingTask_targets_radial7_right.csv","1016.10922813","-932","428","163"
"371.704300245","336.938142776","6","6","459","-38","Thu 18 Jul 2019 13:49:49 BST","NA","-900","282.67288208","79.3969631195","1","odd","pointingTask_targets_radial7_right.csv","1015.5351162","-932","438","0"
"428.25782299","163.920879364","7","7","450","-191","Thu 18 Jul 2019 13:49:49 BST","NA","-900","282.735109329","79.3268680573","1","odd","pointingTask_targets_radial7_right.csv","1017.58289337","-932","428","-163"
"394.865560532","220.025062561","8","8","180","-168","Thu 18 Jul 2019 13:49:49 BST","NA","-900","273.380041122","70.0252056122","1","odd","pointingTask_targets_radial7_right.csv","1015.5749321","-932","128","-126"
"355.501214663","198.627948761","9","9","152","126","Thu 18 Jul 2019 13:49:49 BST","NA","-900","302.057027817","98.8380908966","1","odd","pointingTask_targets_radial7_right.csv","1015.47789574","-932","128","126"
"331.481473786","189.965963364","10","10","191","-131","Thu 18 Jul 2019 13:49:49 BST","NA","-900","235.897064209","32.7041149139","1","odd","pointingTask_targets_radial7_right.csv","1015.48695564","-932","128","-126"
"313.363164663","171.981096268","11","11","447","181","Thu 18 Jul 2019 13:49:49 BST","NA","-900","310.950994492","107.696056366","1","odd","pointingTask_targets_radial7_right.csv","1015.43807983","-932","428","163"
"295.966360304","182.870864868","12","12","595","215","Thu 18 Jul 2019 13:49:49 BST","NA","-900","321.081161499","117.843866348","1","odd","pointingTask_targets_radial7_right.csv","1015.74683189","-932","728","200"
"277.823424339","172.656059265","13","13","620","232","Thu 18 Jul 2019 13:49:49 BST","NA","-900","292.71697998","89.4041061401","1","odd","pointingTask_targets_radial7_right.csv","1015.62809944","-932","728","200"
"264.426881617","170.722007751","14","14","20","-168","Thu 18 Jul 2019 13:49:49 BST","NA","-900","245.117902756","41.8210029602","1","odd","pointingTask_targets_radial7_right.csv","1015.60091972","-932","128","-126"
"253.364602725","157.420873642","15","15","602","179","Thu 18 Jul 2019 13:49:49 BST","NA","-900","320.84107399","117.018938065","1","odd","pointingTask_targets_radial7_right.csv","1007.12609291","-932","728","200"
"238.32494479","201.653957367","16","16","440","-76","Thu 18 Jul 2019 13:49:49 BST","NA","-900","273.701906204","69.8289871216","1","odd","pointingTask_targets_radial7_right.csv","1004.75001335","-932","438","0"
"248.533870493","198.557853699","17","17","398","-56","Thu 18 Jul 2019 13:49:49 BST","NA","-900","264.446973801","60.8580112457","1","odd","pointingTask_targets_radial7_right.csv","1015.65504074","-932","438","0"
"242.020177841","190.1948452","18","18","147","-54","Thu 18 Jul 2019 13:49:49 BST","NA","-900","226.253986359","22.9659080505","1","odd","pointingTask_targets_radial7_right.csv","1015.35701752","-932","136","0"
"237.249985337","170.397996902","19","19","676","-180","Thu 18 Jul 2019 13:49:49 BST","NA","-900","292.88816452","89.4241333008","1","odd","pointingTask_targets_radial7_right.csv","1015.83218575","-932","728","-200"
"232.595317504","182.098150253","20","20","713","-191","Thu 18 Jul 2019 13:49:49 BST","NA","-900","293.432950974","89.9481773376","1","odd","pointingTask_targets_radial7_right.csv","1015.6750679","-932","728","-200"
"226.708908876","192.302942276","21","21","74","117","Thu 18 Jul 2019 13:49:49 BST","NA","-900","254.734992981","51.1999130249","1","odd","pointingTask_targets_radial7_right.csv","1015.53583145","-932","128","126"
"221.496381258","187.077045441","22","22","635","-9","Thu 18 Jul 2019 13:49:49 BST","NA","-900","292.654037476","89.1008377075","1","odd","pointingTask_targets_radial7_right.csv","1011.64698601","-932","740","0"
"217.371177673","178.483009338","23","23","396","-180","Thu 18 Jul 2019 13:49:49 BST","NA","-900","274.23286438","70.6768035889","1","odd","pointingTask_targets_radial7_right.csv","1015.46406746","-932","428","-163"
"215.412525904","172.994852066","24","24","661","-21","Thu 18 Jul 2019 13:49:49 BST","NA","-900","264.805078506","61.2199306488","1","odd","pointingTask_targets_radial7_right.csv","1001.85394287","-932","740","0"
"211.707684127","149.738073349","25","25","720","-262","Thu 18 Jul 2019 13:49:49 BST","NA","-900","273.651838303","69.8990821838","1","odd","pointingTask_targets_radial7_right.csv","1015.71393013","-932","728","-200"
"208.841023238","164.326906204","26","26","61","102","Thu 18 Jul 2019 13:49:49 BST","NA","-900","235.796928406","32.1869850159","1","odd","pointingTask_targets_radial7_right.csv","1000.99396706","-932","128","126"
"206.08454446","190.402030945","27","27","140","-27","Thu 18 Jul 2019 13:49:49 BST","NA","-900","264.104127884","60.7218742371","1","odd","pointingTask_targets_radial7_right.csv","1015.47002792","-932","136","0"
"202.119202614","208.76288414","28","28","172","-53","Thu 18 Jul 2019 13:49:49 BST","NA","-900","254.932165146","51.3248443604","1","odd","pointingTask_targets_radial7_right.csv","1016.31307602","-932","136","0"
"200.11815658","176.968097687","29","29","300","104","Thu 18 Jul 2019 13:49:49 BST","NA","-900","263.964891434","60.4939460754","1","odd","pointingTask_targets_radial7_right.csv","1015.47598839","-932","428","163"
"197.357800272","180.267095566","30","30","385","-161","Thu 18 Jul 2019 13:49:49 BST","NA","-900","245.963096619","42.396068573","1","odd","pointingTask_targets_radial7_right.csv","1016.58678055","-932","428","-163"
"315.151005983","0.0879764556885","37","37","895","95","Thu 18 Jul 2019 13:49:49 BST","NA","900","2445.91498375","2242.27714539","1","odd","pointingTask_targets_radial7_left.csv","1015.65504074","868","-128","-126"
"403.665472721","0.0669956207275","38","38","903","116","Thu 18 Jul 2019 13:49:49 BST","NA","900","5287.98389435","5084.39993858","1","odd","pointingTask_targets_radial7_left.csv","1015.93112946","868","-728","200"
"708.672257264","0.0669956207275","39","39","518","229","Thu 18 Jul 2019 13:49:49 BST","NA","900","18669.0449715","18465.5590057","1","odd","pointingTask_targets_radial7_left.csv","1015.68102837","868","-128","126"
"762.29003937","0.0669956207275","40","40","101","317","Thu 18 Jul 2019 13:49:49 BST","NA","900","4470.56293488","4267.111063","1","odd","pointingTask_targets_radial7_left.csv","1015.78497887","868","-740","0"
"758.080180734","385.109901428","41","41","-476","229","Thu 18 Jul 2019 13:49:49 BST","NA","900","340.626001358","136.940002441","1","odd","pointingTask_targets_radial7_left.csv","1015.50412178","868","-428","163"
"1011.73621958","235.070943832","54","54","-672","84","Thu 18 Jul 2019 13:49:49 BST","NA","900","340.16919136","136.672019958","1","odd","pointingTask_targets_radial7_left.csv","1015.94090462","868","-740","0"
"4739.46999101","0.0679492950439","55","55","954","-537","Thu 18 Jul 2019 13:49:49 BST","NA","900","172677.105904","172472.756863","1","odd","pointingTask_targets_radial7_left.csv","1015.58303833","868","-728","200"
"4661.25389167","0.0669956207275","57","57","946","-291","Thu 18 Jul 2019 13:49:49 BST","NA","900","1883.17012787","1679.04400826","1","odd","pointingTask_targets_radial7_left.csv","1001.23810768","868","-728","-200"
"4623.34085504","0.0669956207275","58","58","-780","-482","Thu 18 Jul 2019 13:49:49 BST","NA","900","5144.15097237","4940.27495384","1","odd","pointingTask_targets_radial7_left.csv","1015.72608948","868","-728","-200"
"4503.53789652","209.172010422","59","59","-216","-141","Thu 18 Jul 2019 13:49:49 BST","NA","900","246.317863464","41.610956192","1","odd","pointingTask_targets_radial7_left.csv","1015.51294327","868","-428","-163"
"4388.98238697","202.97908783","60","60","-576","189","Thu 18 Jul 2019 13:49:49 BST","NA","900","245.517015457","41.9681072235","1","odd","pointingTask_targets_radial7_left.csv","1015.95783234","868","-728","200"
"4279.3213129","114.801883698","61","61","-91","0","Thu 18 Jul 2019 13:49:49 BST","NA","900","236.701965332","32.2999954224","1","odd","pointingTask_targets_radial7_left.csv","1015.92803001","868","-136","0"
"4176.40155554","182.701826096","62","62","-57","152","Thu 18 Jul 2019 13:49:49 BST","NA","900","227.205038071","23.6070156097","1","odd","pointingTask_targets_radial7_left.csv","1017.14515686","868","-128","126"
"4077.70514197","189.450025558","63","63","-385","177","Thu 18 Jul 2019 13:49:49 BST","NA","900","255.594968796","52.0009994507","1","odd","pointingTask_targets_radial7_left.csv","1015.63405991","868","-428","163"
"3983.18782875","348.781108856","69","69","-103","-119","Thu 18 Jul 2019 13:49:49 BST","NA","900","236.820936203","33.0100059509","1","odd","pointingTask_targets_radial7_left.csv","1015.37489891","868","-128","-126"
"4227.77831832","0.0669956207275","70","70","-89","138","Thu 18 Jul 2019 13:49:49 BST","NA","900","29160.1319313","28956.5258026","1","odd","pointingTask_targets_radial7_left.csv","1015.96307755","868","-438","0"
"4156.86146779","298.060894012","74","74","-485","23","Thu 18 Jul 2019 13:49:49 BST","NA","900","236.563205719","32.3989391327","1","odd","pointingTask_targets_radial7_left.csv","1015.90704918","868","-438","0"
"4067.22664833","191.130161285","75","75","-437","174","Thu 18 Jul 2019 13:49:49 BST","NA","900","264.683008194","60.8081817627","1","odd","pointingTask_targets_radial7_left.csv","1000.96487999","868","-428","163"
"3987.54109248","0.0660419464111","76","76","905","37","Thu 18 Jul 2019 13:49:49 BST","NA","900","346.711158752","142.908096313","1","odd","pointingTask_targets_radial7_left.csv","1016.04604721","868","-128","-126"
"3905.56520858","236.376047134","77","77","-19","-17","Thu 18 Jul 2019 13:49:49 BST","NA","900","208.045959473","4.4059753418","1","odd","pointingTask_targets_radial7_left.csv","1015.82407951","868","-136","0"
"3907.99438208","225.536108017","78","78","-99","-17","Thu 18 Jul 2019 13:49:49 BST","NA","900","226.812124252","22.9480266571","1","odd","pointingTask_targets_radial7_left.csv","1006.39104843","868","-136","0"
"3837.5760998","156.012058258","79","79","-68","101","Thu 18 Jul 2019 13:49:49 BST","NA","900","207.801103592","4.31394577026","1","odd","pointingTask_targets_radial7_left.csv","1015.97499847","868","-128","126"
